timestamp,date,hour,service,category,cost
2024-01-01 00:00:00,2024-01-01,0.0,EC2,Compute,0.62
2024-01-01 00:00:00,2024-01-01,0.0,RDS,Database,0.27
2024-01-01 00:00:00,2024-01-01,0.0,S3,Storage,0.28
2024-01-01 00:00:00,2024-01-01,0.0,CloudFront,Network,0.11
2024-01-01 01:00:00,2024-01-01,1.0,EC2,Compute,0.64
2024-01-01 01:00:00,2024-01-01,1.0,RDS,Database,0.35
2024-01-01 01:00:00,2024-01-01,1.0,S3,Storage,0.21
2024-01-01 01:00:00,2024-01-01,1.0,CloudFront,Network,0.13
2024-01-01 02:00:00,2024-01-01,2.0,EC2,Compute,0.52
2024-01-01 02:00:00,2024-01-01,2.0,RDS,Database,0.33
2024-01-01 02:00:00,2024-01-01,2.0,S3,Storage,0.25
2024-01-01 02:00:00,2024-01-01,2.0,CloudFront,Network,0.15
2024-01-01 03:00:00,2024-01-01,3.0,EC2,Compute,0.62
2024-01-01 03:00:00,2024-01-01,3.0,RDS,Database,0.32
2024-01-01 03:00:00,2024-01-01,3.0,S3,Storage,0.15
2024-01-01 03:00:00,2024-01-01,3.0,CloudFront,Network,0.19
2024-01-01 04:00:00,2024-01-01,4.0,EC2,Compute,0.6
2024-01-01 04:00:00,2024-01-01,4.0,RDS,Database,0.39
2024-01-01 04:00:00,2024-01-01,4.0,S3,Storage,0.36
2024-01-01 04:00:00,2024-01-01,4.0,CloudFront,Network,0.14
2024-01-01 05:00:00,2024-01-01,5.0,EC2,Compute,0.57
2024-01-01 05:00:00,2024-01-01,5.0,RDS,Database,0.4
2024-01-01 05:00:00,2024-01-01,5.0,S3,Storage,0.26
2024-01-01 05:00:00,2024-01-01,5.0,CloudFront,Network,0.06
2024-01-01 06:00:00,2024-01-01,6.0,EC2,Compute,0.88
2024-01-01 06:00:00,2024-01-01,6.0,RDS,Database,0.46
2024-01-01 06:00:00,2024-01-01,6.0,S3,Storage,0.34
2024-01-01 06:00:00,2024-01-01,6.0,CloudFront,Network,0.21
2024-01-01 07:00:00,2024-01-01,7.0,EC2,Compute,0.8
2024-01-01 07:00:00,2024-01-01,7.0,RDS,Database,0.54
2024-01-01 07:00:00,2024-01-01,7.0,S3,Storage,0.41
2024-01-01 07:00:00,2024-01-01,7.0,CloudFront,Network,0.25
2024-01-01 08:00:00,2024-01-01,8.0,EC2,Compute,0.78
2024-01-01 08:00:00,2024-01-01,8.0,RDS,Database,0.6
2024-01-01 08:00:00,2024-01-01,8.0,S3,Storage,0.25
2024-01-01 08:00:00,2024-01-01,8.0,CloudFront,Network,0.15
2024-01-01 09:00:00,2024-01-01,9.0,EC2,Compute,1.04
2024-01-01 09:00:00,2024-01-01,9.0,RDS,Database,0.76
2024-01-01 09:00:00,2024-01-01,9.0,S3,Storage,0.75
2024-01-01 09:00:00,2024-01-01,9.0,CloudFront,Network,0.02
2024-01-01 10:00:00,2024-01-01,10.0,EC2,Compute,1.26
2024-01-01 10:00:00,2024-01-01,10.0,RDS,Database,0.42
2024-01-01 10:00:00,2024-01-01,10.0,S3,Storage,0.48
2024-01-01 10:00:00,2024-01-01,10.0,CloudFront,Network,0.39
2024-01-01 11:00:00,2024-01-01,11.0,EC2,Compute,1.15
2024-01-01 11:00:00,2024-01-01,11.0,RDS,Database,0.74
2024-01-01 11:00:00,2024-01-01,11.0,S3,Storage,0.43
2024-01-01 11:00:00,2024-01-01,11.0,CloudFront,Network,0.14
2024-01-01 12:00:00,2024-01-01,12.0,EC2,Compute,1.15
2024-01-01 12:00:00,2024-01-01,12.0,RDS,Database,0.61
2024-01-01 12:00:00,2024-01-01,12.0,S3,Storage,0.4
2024-01-01 12:00:00,2024-01-01,12.0,CloudFront,Network,0.38
2024-01-01 13:00:00,2024-01-01,13.0,EC2,Compute,0.99
2024-01-01 13:00:00,2024-01-01,13.0,RDS,Database,0.3
2024-01-01 13:00:00,2024-01-01,13.0,S3,Storage,0.39
2024-01-01 13:00:00,2024-01-01,13.0,CloudFront,Network,0.08
2024-01-01 14:00:00,2024-01-01,14.0,EC2,Compute,0.95
2024-01-01 14:00:00,2024-01-01,14.0,RDS,Database,0.54
2024-01-01 14:00:00,2024-01-01,14.0,S3,Storage,0.46
2024-01-01 14:00:00,2024-01-01,14.0,CloudFront,Network,0.13
